Date,USDX_Close
12/3/14,88.959999
12/4/14,88.699997
12/5/14,89.330002
12/7/14,null
12/8/14,89.040001
12/9/14,88.690002
12/10/14,88.269997
12/11/14,88.660004
12/12/14,88.360001
12/14/14,null
12/15/14,88.459999
12/16/14,88.129997
12/17/14,89.129997
12/18/14,89.239998
12/19/14,89.599998
12/21/14,null
12/22/14,89.769997
12/23/14,90.059998
12/24/14,null
12/26/14,90.029999
12/28/14,null
12/29/14,90.190002
12/30/14,89.989998
12/31/14,90.269997
1/2/15,91.080002
1/4/15,null
1/5/15,91.379997
1/6/15,91.5
1/7/15,91.889999
1/8/15,92.370003
1/9/15,91.940002
1/11/15,null
1/12/15,91.980003
1/13/15,92.309998
1/14/15,92.160004
1/15/15,92.349998
1/16/15,92.519997
1/18/15,null
1/20/15,93.050003
1/21/15,92.900002
1/22/15,94.239998
1/23/15,95
1/25/15,null
1/26/15,94.800003
1/27/15,94.019997
1/28/15,94.470001
1/29/15,94.779999
1/30/15,94.800003
2/1/15,null
2/2/15,94.5
2/3/15,93.599998
2/4/15,93.989998
2/5/15,94.699997
2/6/15,94.699997
2/8/15,null
2/9/15,94.449997
2/10/15,94.760002
2/11/15,94.989998
2/12/15,94.089996
2/13/15,94.199997
2/15/15,null
2/17/15,94.059998
2/18/15,94.199997
2/19/15,94.400002
2/20/15,94.25
2/22/15,null
2/23/15,94.57
2/24/15,94.489998
2/25/15,94.209999
2/26/15,95.290001
2/27/15,95.25
3/1/15,null
3/2/15,95.459999
3/3/15,95.379997
3/4/15,95.970001
3/5/15,96.379997
3/6/15,97.620003
3/8/15,null
3/9/15,97.589996
3/10/15,98.620003
3/11/15,99.800003
3/12/15,99.150002
3/13/15,100.330002
3/15/15,null
3/16/15,99.599998
3/17/15,99.589996
3/18/15,98.550003
3/19/15,99.099998
3/20/15,97.910004
3/22/15,null
3/23/15,97.029999
3/24/15,97.190002
3/25/15,96.980003
3/26/15,97.440002
3/27/15,97.290001
3/29/15,null
3/30/15,97.980003
3/31/15,98.360001
4/1/15,98.190002
4/2/15,97.440002
4/5/15,null
4/6/15,97.110001
4/7/15,97.830002
4/8/15,98.07
4/9/15,99.160004
4/10/15,99.389999
4/12/15,null
4/13/15,99.489998
4/14/15,98.760002
4/15/15,98.330002
4/16/15,97.419998
4/17/15,97.519997
4/19/15,null
4/20/15,97.940002
4/21/15,97.980003
4/22/15,98.019997
4/23/15,97.279999
4/24/15,96.919998
4/26/15,null
