date,mktrf,smb,hml,umd
20170905,-0.008100,0.001100,-0.009600,-0.007100
20170906,0.002800,-0.000300,0.001300,-0.007800
20170907,-0.000700,0.001500,-0.009200,0.000300
20170908,-0.001600,0.000300,0.003700,0.004500
20170911,0.010800,-0.001200,0.006500,0.002800
20170912,0.004400,0.002300,0.007200,-0.005400
20170913,0.001100,0.003200,0.003600,-0.005500
20170914,-0.001200,-0.000400,-0.000800,0.000300
20170915,0.001900,0.002700,0.001300,-0.001300
20170918,0.002400,0.003800,0.002000,0.004900
20170919,0.001500,-0.002900,0.003800,0.008100
20170920,0.001600,0.002300,0.005100,-0.003000
20170921,-0.002800,0.001100,0.003400,0.001000
20170922,0.001200,0.004300,0.001300,-0.004000
20170925,-0.002500,0.003200,0.006100,-0.014100
20170926,0.000500,0.003900,0.001400,-0.000300
20170927,0.006300,0.013700,0.001900,0.008400
20170928,0.001300,0.001500,-0.000300,0.005200
20170929,0.003500,-0.001300,-0.002600,0.003800
20171002,0.005000,0.008400,0.001200,-0.000300
20171003,0.002600,-0.000300,-0.000300,0.000500
20171004,0.000500,-0.002800,-0.004300,0.002000
20171005,0.005500,-0.003300,0.003600,-0.000400
20171006,-0.000800,-0.000800,-0.002600,0.006500
20171009,-0.002200,-0.002800,-0.000200,0.005900
20171010,0.002400,-0.000100,0.004200,0.000100
20171011,0.001600,-0.001900,-0.002000,0.003800
20171012,-0.001800,0.000500,-0.005300,0.006800
20171013,0.000400,-0.002500,0.001200,-0.000600
20171016,0.001700,-0.002900,0.003100,0.003000
20171017,0.000100,-0.003200,-0.002700,-0.002100
20171018,0.001400,0.002900,0.002100,0.002700
20171019,0.000200,-0.003800,0.001700,-0.002200
20171020,0.005700,-0.000800,0.002800,0.001600
20171023,-0.004500,-0.004400,0.001900,0.003900
20171024,0.002000,-0.001900,0.004900,0.006900
20171025,-0.005100,0.000000,0.001300,-0.001000
20171026,0.002000,0.000400,0.002700,0.003100
20171027,0.008200,-0.000100,-0.009800,0.010200
20171030,-0.004600,-0.007800,-0.000400,-0.001600
20171031,0.002300,0.008400,-0.002500,0.004100
20171101,0.000500,-0.007700,0.001000,-0.005400
20171102,0.000600,-0.000400,0.004900,0.008500
20171103,0.003100,-0.004100,-0.007400,0.005400
20171106,0.000600,0.002200,0.002100,-0.005200
20171107,-0.002000,-0.013600,-0.004000,-0.002800
20171108,0.001200,0.000700,-0.005800,-0.000100
20171109,-0.004100,-0.000100,0.002700,-0.008700
20171110,0.000100,0.000600,-0.004200,-0.000500
20171113,0.000900,-0.003100,0.000500,0.008300
20171114,-0.002200,-0.001300,0.000200,0.009300
20171115,-0.005200,-0.000600,0.002300,-0.000900
20171116,0.010100,0.008500,-0.005400,0.002200
20171117,-0.001400,0.007500,0.003000,-0.012800
20171120,0.002100,0.005600,0.000000,0.005300
20171121,0.006700,0.004100,-0.003500,0.009100
20171122,-0.000500,0.001100,-0.000500,-0.009300
20171124,0.002100,0.000200,-0.004400,0.005200
