Date,TFF1LAIL INDEX
2/20/2018,322053
2/27/2018,326170
3/6/2018,306569
3/13/2018,308898
3/20/2018,285701
3/27/2018,255565
4/3/2018,251341
4/10/2018,246082
4/17/2018,265940
4/24/2018,260777
5/1/2018,250532
5/8/2018,248621
5/15/2018,251250
5/22/2018,257946
5/29/2018,254390
6/5/2018,262001
6/12/2018,278793
6/19/2018,294696
6/26/2018,278646
7/3/2018,275559
7/10/2018,282646
7/17/2018,282273
7/24/2018,277990
7/31/2018,273244
8/7/2018,279316
8/14/2018,272900
8/21/2018,276040
8/28/2018,285061
9/4/2018,286995
9/11/2018,285319
9/18/2018,298056
9/25/2018,311899
10/2/2018,311059
10/9/2018,293335
10/16/2018,263905
10/23/2018,249043
10/30/2018,234431
11/6/2018,242467
11/13/2018,251745
11/20/2018,245924
11/27/2018,243211
12/4/2018,242667
12/11/2018,232841
12/18/2018,232184
12/25/2018,255424
1/1/2019,260710
1/8/2019,261752
1/15/2019,261757
1/22/2019,257347
1/29/2019,250979
2/5/2019,247016
2/12/2019,246106
2/19/2019,245875
2/26/2019,256609
3/5/2019,255679
3/12/2019,258648
3/19/2019,278096
3/26/2019,271531
4/2/2019,274615
4/9/2019,274617
4/16/2019,282487
4/23/2019,282108
4/30/2019,282130
5/7/2019,275432
5/14/2019,268819
5/21/2019,268270
5/28/2019,269658
6/4/2019,273738
6/11/2019,287140
6/18/2019,289401
6/25/2019,303730
7/2/2019,303123
7/9/2019,308384
7/16/2019,317082
7/23/2019,307791
7/30/2019,306123
8/6/2019,294507
8/13/2019,286968
8/20/2019,282087
8/27/2019,285429
9/3/2019,282635
9/10/2019,288060
9/17/2019,275935
9/24/2019,291986
10/1/2019,285311
10/8/2019,273930
10/15/2019,279732
10/22/2019,281119
10/29/2019,285431
11/5/2019,285849
11/12/2019,291330
11/19/2019,289594
11/26/2019,291054
12/3/2019,286187
12/10/2019,287271
12/17/2019,282392
12/24/2019,309501
12/31/2019,304126
1/7/2020,304136
1/14/2020,313471
1/21/2020,316976
1/28/2020,308876
2/4/2020,305492
2/11/2020,310645
2/18/2020,314187
2/25/2020,285921
3/3/2020,266209
3/10/2020,286750
3/17/2020,274031
3/24/2020,288246
3/31/2020,305891
4/7/2020,297295
4/14/2020,301721
4/21/2020,301432
4/28/2020,299803
5/5/2020,280106
5/12/2020,282871
5/19/2020,274939
5/26/2020,274250
6/2/2020,264119
6/9/2020,263257
6/16/2020,258839
6/23/2020,253673
6/30/2020,244673
7/7/2020,244523
7/14/2020,247036
7/21/2020,243661
7/28/2020,252790
8/4/2020,259904
8/11/2020,261384
8/18/2020,262903
8/25/2020,268410
9/1/2020,262622
9/8/2020,249151
9/15/2020,252766
