Date,TFF1LAIN INDEX
10/3/2017,166224
10/10/2017,167340
10/17/2017,163367
10/24/2017,161710
10/31/2017,153152
11/7/2017,147661
11/14/2017,147490
11/21/2017,142767
11/28/2017,145440
12/5/2017,135473
12/12/2017,140026
12/19/2017,154994
12/26/2017,152713
1/2/2018,162372
1/9/2018,188706
1/16/2018,189670
1/23/2018,201518
1/30/2018,188509
2/6/2018,176336
2/13/2018,152953
2/20/2018,170921
2/27/2018,179902
3/6/2018,158607
3/13/2018,165260
3/20/2018,150436
3/27/2018,115884
4/3/2018,101136
4/10/2018,104682
4/17/2018,122339
4/24/2018,118052
5/1/2018,96455
5/8/2018,88753
5/15/2018,87401
5/22/2018,74692
5/29/2018,65415
6/5/2018,73219
6/12/2018,91815
6/19/2018,110728
6/26/2018,88357
7/3/2018,83695
7/10/2018,95056
7/17/2018,94621
7/24/2018,90977
7/31/2018,84286
8/7/2018,91146
8/14/2018,85605
8/21/2018,88508
8/28/2018,106592
9/4/2018,116924
9/11/2018,121059
9/18/2018,132961
9/25/2018,154224
10/2/2018,153520
10/9/2018,131991
10/16/2018,87787
10/23/2018,72066
10/30/2018,55747
11/6/2018,64615
11/13/2018,80631
11/20/2018,73139
11/27/2018,73887
12/4/2018,85934
12/11/2018,64959
12/18/2018,63944
12/25/2018,102692
1/1/2019,120241
1/8/2019,126914
1/15/2019,126447
1/22/2019,126047
1/29/2019,123517
2/5/2019,116557
2/12/2019,109172
2/19/2019,107445
2/26/2019,126100
3/5/2019,127965
3/12/2019,136779
3/19/2019,152803
3/26/2019,152456
4/2/2019,154709
4/9/2019,158681
4/16/2019,166758
4/23/2019,162043
4/30/2019,160452
5/7/2019,154006
5/14/2019,144659
5/21/2019,142101
5/28/2019,140725
6/4/2019,143473
6/11/2019,161996
6/18/2019,162179
6/25/2019,184598
7/2/2019,182650
7/9/2019,184361
7/16/2019,194482
7/23/2019,181911
7/30/2019,181455
8/6/2019,157654
8/13/2019,151861
8/20/2019,133692
8/27/2019,143757
9/3/2019,144113
9/10/2019,155811
9/17/2019,143834
9/24/2019,163872
10/1/2019,154266
10/8/2019,142099
10/15/2019,152727
10/22/2019,157555
10/29/2019,168153
11/5/2019,173963
11/12/2019,184580
11/19/2019,181500
11/26/2019,181261
12/3/2019,170093
12/10/2019,179281
12/17/2019,176822
12/24/2019,211303
12/31/2019,202591
1/7/2020,203346
1/14/2020,215821
1/21/2020,217231
1/28/2020,207175
2/4/2020,209569
2/11/2020,218412
2/18/2020,222832
2/25/2020,176873
3/3/2020,130009
3/10/2020,108476
3/17/2020,67380
3/24/2020,68269
3/31/2020,96288
4/7/2020,90854
4/14/2020,116784
4/21/2020,112648
4/28/2020,118331
5/5/2020,98505
5/12/2020,104258
5/19/2020,96156
5/26/2020,108740
6/2/2020,103972
6/9/2020,118066
6/16/2020,103383
6/23/2020,89801
6/30/2020,79163
7/7/2020,87117
7/14/2020,98056
7/21/2020,100094
7/28/2020,108987
8/4/2020,122424
8/11/2020,134130
8/18/2020,135808
8/25/2020,142723
9/1/2020,137263
9/8/2020,122555
9/15/2020,124876
